"","franchID","franchName","active","NAassoc"
"1","ALT","Altoona Mountain City","N",NA
"2","ANA","Los Angeles Angels of Anaheim","Y",NA
"3","ARI","Arizona Diamondbacks","Y",NA
"4","ATH","Philadelphia Athletics","N","PNA"
"5","ATL","Atlanta Braves","Y","BNA"
"6","BAL","Baltimore Orioles","Y",NA
"7","BFB","Buffalo Bisons","N",NA
"8","BFL","Buffalo Bisons","N",NA
"9","BLC","Baltimore Canaries","NA",NA
"10","BLO","Baltimore Orioles","N",NA
"11","BLT","Baltimore Terrapins","N",NA
"12","BLU","Baltimore Monumentals","N",NA
"13","BNA","Boston Red Stockings","NA","ATL"
"14","BOS","Boston Red Sox","Y",NA
"15","BRA","Brooklyn Atlantics","NA",NA
"16","BRD","Boston Reds","N",NA
"17","BRG","Brooklyn Gladiators","N",NA
"18","BRS","Boston Reds","N",NA
"19","BTT","Brooklyn Tip-Tops","N",NA
"20","BUF","Buffalo Bisons","N",NA
"21","BWW","Brooklyn Ward's Wonders","N",NA
"22","CBK","Columbus Buckeyes","N",NA
"23","CBL","Cleveland Blues","N",NA
"24","CEN","Philadelphia Centennials","NA",NA
"25","CFC","Cleveland Forest Citys","NA",NA
"26","CHC","Chicago Cubs","Y","CNA"
"27","CHH","Chicago Whales","N",NA
"28","CHP","Chicago Pirates","N",NA
"29","CHW","Chicago White Sox","Y",NA
"30","CIN","Cincinnati Reds","Y",NA
"31","CKK","Cincinnati Kelly's Killers","N",NA
"32","CLE","Cleveland Indians","Y",NA
"33","CLI","Cleveland Infants","N",NA
"34","CLS","Columbus Solons","N",NA
"35","CLV","Cleveland Spiders","N",NA
"36","CNA","Chicago White Stockings","NA","CHC"
"37","CNR","Cincinnati Reds","N",NA
"38","COL","Colorado Rockies","Y",NA
"39","COR","Cincinnati Outlaw Reds","N",NA
"40","CPI","Chicago/Pittsburgh (Union League)","N",NA
"41","DET","Detroit Tigers","Y",NA
"42","DTN","Detroit Wolverines","N",NA
"43","ECK","Brooklyn Eckfords","NA",NA
"44","FLA","Florida Marlins","Y",NA
"45","HAR","Hartford Dark Blues","N","HNA"
"46","HNA","Hartford Dark Blues","NA","HAR"
"47","HOU","Houston Astros","Y",NA
"48","IBL","Indianapolis Blues","N",NA
"49","IHO","Indianapolis Hoosiers","N",NA
"50","IND","Indianapolis Hoosiers","N",NA
"51","KCC","Kansas City Cowboys","N",NA
"52","KCN","Kansas City Cowboys","N",NA
"53","KCP","Kansas City Packers","N",NA
"54","KCR","Kansas City Royals","Y",NA
"55","KCU","Kansas City Cowboys","N",NA
"56","KEK","Fort Wayne Kekiongas","NA",NA
"57","LAD","Los Angeles Dodgers","Y",NA
"58","LGR","Louisville Grays","N",NA
"59","LOU","Louisville Colonels","N",NA
"60","MAN","Middletown Mansfields","NA",NA
"61","MAR","Baltimore Marylands","NA",NA
"62","MIL","Milwaukee Brewers","Y",NA
"63","MIN","Minnesota Twins","Y",NA
"64","MLA","Milwaukee Brewers","N",NA
"65","MLG","Milwaukee Grays","N",NA
"66","MLU","Milwaukee Brewers","N",NA
"67","NAT","Washington Nationals","NA",NA
"68","NEW","Newark Pepper","N",NA
"69","NHV","New Haven Elm Citys","NA",NA
"70","NNA","New York Mutuals","NA","NYU"
"71","NYI","New York Giants","N",NA
"72","NYM","New York Mets","Y",NA
"73","NYP","New York Metropolitans","N",NA
"74","NYU","New York Mutuals","N","NNA"
"75","NYY","New York Yankees","Y",NA
"76","OAK","Oakland Athletics","Y",NA
"77","OLY","Washington Olympics","NA",NA
"78","PBB","Pittsburgh Burghers","N",NA
"79","PBS","Pittsburgh Rebels","N",NA
"80","PHA","Philadelphia Athletics","N",NA
"81","PHI","Philadelphia Phillies","Y",NA
"82","PHK","Philadelphia Keystones","N",NA
"83","PHQ","Philadelphia Athletics","N",NA
"84","PIT","Pittsburgh Pirates","Y",NA
"85","PNA","Philadelphia Athletics","NA","ATH"
"86","PRO","Providence Grays","N",NA
"87","PWS","Philadelphia White Stockings","NA",NA
"88","RES","Elizabeth Resolutes","NA",NA
"89","RIC","Richmond Virginians","N",NA
"90","ROC","Rochester Broncos","N",NA
"91","ROK","Rockford Forest Citys","NA",NA
"92","SBS","St. Louis Brown Stockings","N","SNA"
"93","SDP","San Diego Padres","Y",NA
"94","SEA","Seattle Mariners","Y",NA
"95","SFG","San Francisco Giants","Y",NA
"96","SLI","St. Louis Terriers","N",NA
"97","SLM","St. Louis Maroons","N",NA
"98","SLR","St. Louis Red Stockings","NA",NA
"99","SNA","St. Louis Brown Stockings","NA","SBS"
"100","STL","St. Louis Cardinals","Y",NA
"101","STP","St. Paul Apostles","N",NA
"102","SYR","Syracuse Stars","N",NA
"103","SYS","Syracuse Stars","N",NA
"104","TBD","Tampa Bay Rays","Y",NA
"105","TEX","Texas Rangers","Y",NA
"106","TLM","Toledo Maumees","N",NA
"107","TOL","Toledo Blue Stockings","N",NA
"108","TOR","Toronto Blue Jays","Y",NA
"109","TRO","Troy Haymakers","NA",NA
"110","TRT","Troy Trojans","N",NA
"111","WAS","Washington Senators","N",NA
"112","WBL","Washington Blue Legs","NA",NA
"113","WES","Keokuk Westerns","NA",NA
"114","WIL","Wilmington Quicksteps","N",NA
"115","WNA","Washington Nationals","N",NA
"116","WNL","Washington Nationals","N",NA
"117","WNT","Washington Nationals","NA",NA
"118","WOR","Worcester Ruby Legs","N",NA
"119","WSN","Washington Nationals","Y",NA
"120","WST","Washington Statesmen","N",NA
